ORF	 "Empirical phi from data in Beyer et al 2003"
YAL001C	0.008886155
YAL002W	0.003230742
YAL003W	4.072689718
YAL005C	1.189554075
YAL007C	0.092716824
YAL008W	0.07363238
YAL009W	0.024511087
YAL010C	0.008605737
YAL011W	0.016375849
YAL012W	1.261992885
YAL013W	0.06334094
YAL014C	0.027443449
YAL015C	0.025719213
YAL016W	0.243201085
YAL017W	0.009616618
YAL018C	0.007849241
YAL019W	0.038812768
YAL020C	0.024701162
YAL021C	0.077695156
YAL022C	0.092215233
YAL023C	0.322835408
YAL024C	0.002008246
YAL025C	0.088243347
YAL026C	0.003021893
YAL027W	0.029617693
YAL028W	0.006259554
YAL029C	0.010700439
YAL030W	0.24035666
YAL031C	0.015267355
YAL032C	0.005799162
YAL033W	0.074531046
YAL034C	0.001525996
YAL034WA	0.006984606
YAL035W	0.285703892
YAL036C	0.349185119
YAL037W	0.008014037
YAL038W	14.56123419
YAL039C	0.237835699
YAL040C	0.01915893
YAL041W	0.01412289
YAL042W	0.462520236
YAL043C	0.022763694
YAL044C	1.007135201
YAL046C	0.061625898
YAL047C	0.006218822
YAL048C	0.002639973
YAL049C	0.220518864
YAL051W	0.016291971
YAL053W	0.148007665
YAL054C	0.003735487
YAL055W	0.086690622
YAL056W	0.012598831
YAL058W	0.056622112
YAL059W	0.147678823
YAL060W	0.107141614
YAL061W	0.010774075
YAL062W	0.028649012
YAL063C	0.000670982
YAL064CA	0.004814664
YAL064W	0.005306986
YAL064WB	0.005463699
YAL065C	0.002324244
YAL067C	0.003482367
YAL068C	0.053210985
YAR002CA	0.330566424
YAR002W	0.088840717
YAR003W	0.017361093
YAR007C	0.072035967
YAR008W	0.063647331
YAR009C	0.2018132
YAR010C	0.07790172
YAR014C	0.017810106
YAR015W	0.24132485
YAR018C	0.026813746
YAR019C	0.004468042
YAR020C	0.994551523
YAR023C	0.005317874
YAR027W	0.058845391
YAR028W	0.020886468
YAR029W	0.00207084
YAR031W	0.002175353
YAR033W	0.018599835
YAR035W	0.010232167
YAR042W	0.015320845
YAR050W	0.001263736
YAR064W	0.001266095
YAR066W	0.005157006
YAR068W	0.015349959
YAR071W	0.337357519
YBL001C	0.290261267
YBL002W	0.755771046
YBL003C	0.756801704
YBL004W	0.019492452
YBL005W	0.020427297
YBL005WA	0.017564572
YBL006C	0.194940813
YBL007C	0.124361178
YBL008W	0.004642676
YBL009W	0.008551508
YBL010C	0.004229524
YBL011W	0.054489166
YBL013W	0.001372562
YBL014C	0.008264684
YBL015W	0.066147443
YBL016W	0.059347494
YBL017C	0.011777339
YBL018C	0.112097335
YBL019W	0.006221346
YBL020W	0.034389127
YBL021C	0.050084848
YBL022C	0.122488343
YBL023C	0.018624418
YBL024W	0.127192422
YBL025W	0.02827001
YBL026W	0.15881193
YBL027W	3.058562383
YBL028C	0.067860035
YBL029W	0.002738665
YBL030C	1.490918199
YBL031W	0.003607347
YBL032W	0.073946652
YBL033C	0.078456127
YBL034C	0.019992315
YBL035C	0.040732823
YBL036C	0.114117347
YBL037W	0.009071938
YBL038W	0.09736238
YBL039C	0.458168254
YBL040C	0.130057834
YBL041W	0.239569992
YBL042C	0.133267266
YBL043W	0.017965652
YBL044W	0.006793351
YBL045C	0.174145545
YBL046W	0.018507161
YBL047C	0.031702706
YBL049W	0.003885472
